review_text,review_score,filtered_review_text,flan-t5-xl-prefix-1
"Seriously, do not be fooled this game can provide hours of fun alone or with friends! The dinosaurs are bad ♥♥♥ and the gameplay is way better than you would expect. Buy it on sale though 15 bucks is a rip off. I got it for like 3 or 4 dollars.",1,seriously fooled game provide hours fun alone friends dinosaurs bad gameplay way better would expect buy sale though bucks rip got like dollars,I'm a fan of the game and I'm a fan of the series.
"For 45 cents - totally worth it. For 5 euros, not so much. I bought the game because it was so cheap and never expected to even open it and yet here I am.",1,cents totally worth euros much bought game cheap never expected even open yet,I'm a fan of the game.
Best advice for solo player ....Shoot anything thats moves!!!! and scream top of your lungs so that the neighbors can hear you!!! adds more depth to the game,1,best advice solo player shoot anything thats moves scream top lungs neighbors hear adds depth game,i like the game but i think it could be better.
"They need to add difficulties or something, I'm not someone who plays a game for two seconds then gives up because it's 'too hard', but this is ridiculous. Also, I just can't take how everything is randomized, down to the enemies you meet. If you like the game, you can get the DLC which for some reason makes the game even more difficult! (Check the BoI wiki, it states the DLC is more difficult than the normal game)",1,need add difficulties something im someone plays game two seconds gives hard ridiculous also cant take everything randomized enemies meet like game get dlc reason makes game even difficult check boi wiki states dlc difficult normal game,I'm not a fan of the'stupid''stupid''stupid''stupid''stupid''stupid''stupid''stu
"Love it, got a little old, but then it didnt, always new stuff you think of, and always new stuf to do.",1,love got little old didnt always new stuff think always new stuf,"Love it, got a little old, but then it didnt, always new stuff you think of, and always new stuf to do."
No Steam library is complete without this amazing game,1,steam library complete without amazing game,...
"This game rules, true story.",1,game rules true story,"This game rules, true story."
Remember when u ran for your life from a green slime but was trapped by another green slime in the other direction... tried to fight back with an axe.. ,1,remember u ran life green slime trapped another green slime direction tried fight back axe,i was so scared
"This Game is honestly worth to buy.  1.3 Has made Terraria change to so good. It's other versions also make it fun.  Multiplayer is easier now in 1.3. You can just play with your friend without the need of a private server.   Mods in Terraria make it even funner. It's only weakness is how you use the mod. But mods like Thorium or Tremor mod can really change your gameplay.  I can give this a 10/10. Not a copy of Minecraft, but it's as cool as it gets. Recommended.  ",1,game honestly worth buy made terraria change good versions also make fun multiplayer easier play friend without need private server mods terraria make even funner weakness use mod mods like thorium tremor mod really change gameplay give copy minecraft cool gets recommended,Defeat your friends in a single game.
"Got it on a sale, ive played for 3 hours and its awsome! Would recommend, especially on a sale! ",1,got sale ive played hours awsome would recommend especially sale,"Keeps only sentimental words: Got it on a sale, ive played for 3 hours and it's awsome! Would recommend, especially on a sale!"
"They never come in peace. XCOM: Enemy Unknown (or just XCOM for short) is a stradigy game that puts you face first into the meat grinder. You know that soldier you have that has been on every mission with you this far, now he is dead, you remerber that small country in south america that got atacked, well now they are no longer paying you to save the world. This game has many levels that you can go past with little resistence, then the next level all of you best units start killing each other. This game is not for the faint of heart, most missions feel like they can be your last. Your base of operation has a nice feel to it with the area 51 type vibe to it, and upgrading all of your units with better wepons used from alien tec feels nice. The best comparison I can think of for this game is fire emblem, but with aliens and all of you freind dead. This is not a casual game, expect to fail, I suggest to save often, or if you have the balls have iorn man mode on so you only have one save file. My only suggestion for this game is to play in short bursts because this game has the just one more turn type feel to it. Always make your troop go into overwatch when moving forward. And lastly good luck, you will need it.   P.S. Live long, and prosper",1,never come peace xcom enemy unknown xcom short stradigy game puts face first meat grinder know soldier every mission far dead remerber small country south america got atacked well longer paying save world game many levels go past little resistence next level best units start killing game faint heart missions feel like last base operation nice feel area type vibe upgrading units better wepons used alien tec feels nice best comparison think game fire emblem aliens freind dead casual game expect fail suggest save often balls iorn man mode one save file suggestion game play short bursts game one turn type feel always make troop go overwatch moving forward lastly good luck need ps live long prosper,"It's a slick, polished, and surprisingly deep game."
An awsome FPS?Third person Shooter with multiple gamemodes from everyday life to full out war ,1,awsome fpsthird person shooter multiple gamemodes everyday life full war,An awsome FPS?Third person Shooter with multiple gamemodes from everyday life to full out war.
"Empire Total War is a great game. Despite what others might say about bugs, I found it to be quite enjoyable overall. This game really captures the atmosphere of the 1700s during the time when many European nations strived to colonize and expand their empires.",1,empire total war great game despite others might say bugs found quite enjoyable overall game really captures atmosphere time many european nations strived colonize expand empires,Empire was a major power. The game is very well made and the graphics are very good. The game is very well made and the graphics are very good. The game is very well made and the graphics are very good.
"A metroidvania-style game that can keep the player busy for hours, days or even months on end by way of its unique crafting system and items. Terraria has an incredible amount of replayability, and rightly so. Players can spend their time building huge structures, re-visiting old bosses to get better loot, collecting all the items in the game, and IT'S FLIPPIN' CHEAP.",1,metroidvaniastyle game keep player busy hours days even months end way unique crafting system items terraria incredible amount replayability rightly players spend time building huge structures revisiting old bosses get better loot collecting items game flippin cheap,gameplay and is a great game for anyone who likes to explore and build.
"This game seems on the outside to not be much fun, and I'll admit the singleplayer is lacking in playability. Grab some friends however, and it becomes hilariously good fun! Terrible accents, bad humour and the multitude of inevitable failure makes this multiplayer game so addictively hilarious that you will play and laugh until your sides split! Recommend 10/10 if you have friends. If you don't, well, I feel for you buddy.",1,game seems outside much fun ill admit singleplayer lacking playability grab friends however becomes hilariously good fun terrible accents bad humour multitude inevitable failure makes multiplayer game addictively hilarious play laugh sides split recommend friends dont well feel buddy,"I'm not sure if it's the game or the voice acting, but I'm not sure if it's the voice acting, but I'm not sure if it's the game or the voice acting, but I'm not sure if it's the game"
this game is wow,1,game wow,this game is wow
"It could have been a Zelda clone with a God-tier waifu. Instead we got a Zelda clone with a God-tier waifu and no boss fights. Could have been at great game but publisher/time constraints made it just an OK game. Level and character designs beautiful, gameplay OK but console-ish, story and combat a little lacking. This game made me realize how important boss fights are to video games. Still, best hair of any game ever thanks to PhysX. 5/5 buy it just for the hair.",1,could zelda clone godtier waifu instead got zelda clone godtier waifu boss fights could great game publishertime constraints made ok game level character designs beautiful gameplay ok consoleish story combat little lacking game made realize important boss fights video games still best hair game ever thanks physx buy hair,ifu.
"My pick for best 'downloadable' game of the year. It's short, but the gameplay is tight, the story &amp; presentation excellent and it all comes together for a wonderful experience.",1,pick best downloadable game year short gameplay tight story amp presentation excellent comes together wonderful experience,I'm a big fan of the series and I'm glad that they've finally released a sequel. I'm also glad that they've finally released a game that isn't a remake of a movie. I'm glad that they've finally released
"Coming from someone who has never really gotten into most strategy games this one was really enjoyable. The mechanics are solid and didn't feel tedious at all which is a big reason why I don't typically play strategy games. Also the enemy types were varied and challenging. If there's one negativer thing to say about this game is that you should not name your squad members after your friends, otherwise you might have a bad day.",1,coming someone never really gotten strategy games one really enjoyable mechanics solid didnt feel tedious big reason dont typically play strategy games also enemy types varied challenging theres one negativer thing say game name squad members friends otherwise might bad day,t like most strategy games. The graphics are great and the game is very well made. I would definitely recommend this game to anyone who likes strategy games.
"Pikmin x Dungeon Keeper However being evil is sometimes dissapointing, why can't I completly raze a city instead of just pillageing it. If you've ever wanted to be Sauron, well here ya go.",1,pikmin x dungeon keeper however evil sometimes dissapointing cant completly raze city instead pillageing youve ever wanted sauron well ya go,"Dungeon Keeper is a good game, but it is not a great game."
"Well, it has a lot of Pro's, first, Graphics, to be a game from 2009, the graphics were incredibly good, the gameplay is perfect, the co-op sometimes it's fun, like when you play with friends or some strange people that you can easily meet and enjoy a good moment. About the DLC's, I liked the most of them but, I would preffer to personalize our character, yes, to make it more 'unique'. And some of the DLC's can be unlocked by making some achievements and that's one of my favorite things of the DLC's like amazing weapons and characters. I recommend you 100% this game. If you don't have it, you should think about playing this piece of art before buying the sequel (Killing Floor 2).",1,well lot pros first graphics game graphics incredibly good gameplay perfect coop sometimes fun like play friends strange people easily meet enjoy good moment dlcs liked would preffer personalize character yes make unique dlcs unlocked making achievements thats one favorite things dlcs like amazing weapons characters recommend game dont think playing piece art buying sequel killing floor,"is perfect, the story is perfect, the music is perfect, the voice acting is perfect, the music is perfect, the story is perfect, the gameplay is perfect, the co-op is perfect, the story is perfect, the music is perfect, the voice acting is perfect, the music is perfect,"
"a nice addition to your game library, although i would only reccomend getting this if you have friends who play. it certainly isnt for everyone, with the metal soundtrack and (midly) sexist british humor, it definately has its own unique flavour. but if you are in to that sort of thing (which i am) and have friends willing to stand next to you against hordes of failed experiments, then this game is for you. The slow-mo moment that trigger sometimes in the game also tend to create some really awesome moments. Considering that it just got a major update and is on sale, i would definately recommend this to you and your friends.  just be warned, it tend to get dull after awhile if your friends dont stick to it, and you will more than likely move on to a new game fairly soon.",1,nice addition game library although would reccomend getting friends play certainly isnt everyone metal soundtrack midly sexist british humor definately unique flavour sort thing friends willing stand next hordes failed experiments game slowmo moment trigger sometimes game also tend create really awesome moments considering got major update sale would definately recommend friends warned tend get dull awhile friends dont stick likely move new game fairly soon,- ) graphics.
"I got this game when it was first released and even back then it was a great game about going around, gathering throwing stars, making health potions and killing the eye of C'Thulu.  But what is it? Is it like 2D minecraft? Not really, while miecraft is more about the creative values of building, terraria is more of a voxel based RPG where you go around visiting the different biomes and finding or crafting rare weapons, armors and trinkets. You'll also be building your own village to get different NPC's that sell you different items or give you mini quests. You'll have your world evolve while you go through the fdifferent difficulty phases of the game. You'll be creating more maps for you character to visit so that you can get all the rare items that your first map didn't generate. (Characters kee their inventory when changing maps.)  Pros: - Easy to set up multiplayer. - Vast worlds to explore. - Scaling difficulty based on the bosses you fight. - Invasions - ♥♥♥♥ ton of items. - Lots of building materials if you still get the creative urge (including logic gates) - Will keep you busy for a very long time. - And more (magic, minecart systems, fishing, pets, mounts, capture the gem, etc.)  Cons: - Modding scene not as active as Starbound or Minecraft - Some items are really hard to get. - Going through the difficulties can take a very long time. ",1,got game first released even back great game going around gathering throwing stars making health potions killing eye cthulu like minecraft really miecraft creative values building terraria voxel based rpg go around visiting different biomes finding crafting rare weapons armors trinkets youll also building village get different npcs sell different items give mini quests youll world evolve go fdifferent difficulty phases game youll creating maps character visit get rare items first map didnt generate characters kee inventory changing maps pros easy set multiplayer vast worlds explore scaling difficulty based bosses fight invasions ton items lots building materials still get creative urge including logic gates keep busy long time magic minecart systems fishing pets mounts capture gem etc cons modding scene active starbound minecraft items really hard get going difficulties take long time,I've played it a few times since then and it's still a great game.
Why the ♥♥♥♥ do i own so many cod games.....because im a ♥♥♥♥ing ♥♥♥♥♥♥         Maplestory,1,many cod gamesbecause im ing maplestory,
"This is a very unique game, owing much to its use of narration as a game mechanic.  It's well designed, runs extremely well, and has a lot of depth under the surface.  Certainly worth the purchase.",1,unique game owing much use narration game mechanic well designed runs extremely well lot depth surface certainly worth purchase,"It's a very unique game, owing much to its use of narration as a game mechanic. It's well designed, runs extremely well, and has a lot of depth under the surface."
Good Game. Very Good Game,1,good game good game,Very Good Game.
"zombies, guns, upgrades, and boss fights. whats not to love",1,zombies guns upgrades boss fights whats love,a game that combines the best of the first two.
"Nice, you will fall in love with narrator. Fun action too",1,nice fall love narrator fun action,The narrator is very nice and you will fall in love with her.
"A strong succesor to the likes of Pharoh, Children of the Nile is an engrossing city-builder that's never frustrating: you always know what you're doing wrong, and typically how to fix it. While it plays easily on modern machines which are, compared to what it was built for, supercomputers, it's graphics do occaisionally have issues with rendering properly on current generation hardware and software. Additionally, it's lack of proper (or at least, lack of an obvious) window mode can be maddening. Still, its fun, appealing to the little civil-planning autocrat in all of us who think that, had we been in charge of city planning, we'd have done a better job.",1,strong succesor likes pharoh children nile engrossing citybuilder thats never frustrating always know youre wrong typically fix plays easily modern machines compared built supercomputers graphics occaisionally issues rendering properly current generation hardware software additionally lack proper least lack obvious window mode maddening still fun appealing little civilplanning autocrat us think charge city planning wed done better job,want to do
More blood for the blood god with this game,1,blood blood god game,- More blood for the blood god with this game
"A remarkable game that I had heard about via a podcast when it first released and it was being called a real GOTY candidate and I always wondered what they meant by it. I'll make this short. If you love FPS titles with some added chaos and a great story, pick this up. This was in fact a game that could have easily won GOTY. Hands down. No brainer. What a kick ♥♥♥ fun ride it was.  'F*** the moon.'  -Blazkowicz",1,remarkable game heard via podcast first released called real goty candidate always wondered meant ill make short love fps titles added chaos great story pick fact game could easily goty hands brainer kick fun ride f moon blazkowicz,it a point to play it again and again.
"Loved Wolfenstein from the early days and this did not disappoint. This had an intresting and gripping story and I loved the attention to detail with the 'nazified' elements of history, early rock and roll records, moon landing etc. This was fun - kinda how I remember PC games when I first started playing them. It looked great and ran a treat.   One of the best things about this game - you get to fight nazis on the moon - on the freaking moon! Loved it!   ",1,loved wolfenstein early days disappoint intresting gripping story loved attention detail nazified elements history early rock roll records moon landing etc fun kinda remember pc games first started playing looked great ran treat one best things game get fight nazis moon freaking moon loved,I have played Wolfenstein 3D and Wolfenstein II and have always enjoyed them. I have played this game for a long time and have always enjoyed it. I have played it on the PC and the Xbox and have always enjoyed it. I have played it on the PS3 and the PS2 and have
"30 hours and counting.  It's awesome, just buy it, don't be gay bro.",1,hours counting awesome buy dont gay bro,"Keeps only sentimental words: 30 hours and counting. It's awesome, just buy it, don't be gay bro."
This game shows impressivly that it is actually possible to win a global thermonuclear war. Would buy again.,1,game shows impressivly actually possible win global thermonuclear war would buy,I'm a fan of the game.
I REQUIRE MORE WOOD,1,require wood,I REQUIRE MORE WOOD
"Fun game, inexpensive, fast paced, enjoyable, high levels of Mole Shui!",1,fun game inexpensive fast paced enjoyable high levels mole shui,"I'm a fan of the game, and I'm a fan of the series."
"This has to be one of my favorite games of all time! If you enjoy games that are simple yet in-depth, Intense but relaxing, and just an all round good time, then this is the game for you. Torchlight 2 is a dungeon crawler lootfest and it never gets old! The four main classes are all amazingly put together and balanced, not to mention the countless number of user created classes and mods out there to make your experience even more unique and exciting. I reccomend this game to everyone. The only con i can think of is that it gets a bit grindy in some parts, but that doesnt hold this game back from being great and one of my favorites!",1,one favorite games time enjoy games simple yet indepth intense relaxing round good time game torchlight dungeon crawler lootfest never gets old four main classes amazingly put together balanced mention countless number user created classes mods make experience even unique exciting reccomend game everyone con think gets bit grindy parts doesnt hold game back great one favorites,a must have!
Bess Radio NA,1,bess radio na,Bess Radio NA
war inc battlezone is a fast paced shooter that is great if you want to play a free shooter but can leave you annoyed sometimes ,1,war inc battlezone fast paced shooter great want play free shooter leave annoyed sometimes,a great game
Well i just updated my review from not recommended cos i got it to work if you use Windows 8 and infinite loading screen Just Set Launch Options -avaiablevidmem 30.0,1,well updated review recommended cos got work use windows infinite loading screen set launch options avaiablevidmem,i just updated my review from not recommended cos i got it to work if you use Windows 8 and infinite loading screen Just Set Launch Options -avaiablevidmem 30.0
"Cheese is good, cheese is life. I have not been able to find cheese on terraria yet, so therefore the game is rubbish in that aspect. In every other way the game is amazing, this is one of the greatest games i have played. I think everyone should buy this game and find the cheese. Again the cheese is life.",1,cheese good cheese life able find cheese terraria yet therefore game rubbish aspect every way game amazing one greatest games played think everyone buy game find cheese cheese life,"I have not been able to find cheese on terraria yet, so therefore the game is rubbish in that aspect. In every other way the game is amazing."
"Loved it, way more scarier in the fear jump factor, than it's predecessor imho, can't wait for Fear 3.",1,loved way scarier fear jump factor predecessor imho cant wait fear,I'm a big fan of the series and I'm glad that they're making a third one.
its fun you should try it,1,fun try,It's fun you should try it
Cuz its the best game,1,cuz best game,i love you
"Not as fun as back in 2012, but still a decent game. I still have a lot of fun playing with my friends. However, there's been an overall nerf to the game's difficulty that I do not like",1,fun back still decent game still lot fun playing friends however theres overall nerf games difficulty like,"I still have a lot of fun playing with my friends. However, there's been an overall nerf to the game."
"Hell of a bargain for less than a dollar. Little bit laggy and altogether not very visually impressive, but a good time killer with friends.",1,hell bargain less dollar little bit laggy altogether visually impressive good time killer friends,A good game for a cheap price.
good classic but graphics irritating :( Recommended,1,good classic graphics irritating recommended,i like it
This game is awesome. Slightly biased opinion though :) ,1,game awesome slightly biased opinion though,I'm a big fan of the series and I've played it a few times.
"Great game with new guns and new stories, could keep you going for hours.",1,great game new guns new stories could keep going hours,I'm a big fan of the series and I'm glad that they're making a sequel.
"Fun little game. If you find it on sale, you should definitely buy it. I wouldn't suggest it for people with strong religious beliefs though, it might be a bit inappropiate for them.",1,fun little game find sale definitely buy wouldnt suggest people strong religious beliefs though might bit inappropiate,"I'm not a big fan of the game, but I think it's a good game."
"Amazing game, the progression is expert mode is so steep and fun, while the building allows me to explore my creative side. 10/10.",1,amazing game progression expert mode steep fun building allows explore creative side,I'm a fan of the game.
This game restored my faith in the modern first person shooter. I'm gonna do a pros and cons list so you don't have to read a big block of text.  Pros: -Fantastic atmosphere -Great alternate reality -manages to be funny and serious  -Each gun feels different and you will want to conserve ammo accordingly  -DUAL WIELDING ASSAULT RIFLES -The funniest sex scene in all of video games -great story and secrets to collect -cool enemy and level design -kill nazi scum  Cons: -Needs a high res texture pack -The hounds can get annoying because they latch onto you instantly ,1,game restored faith modern first person shooter im gonna pros cons list dont read big block text pros fantastic atmosphere great alternate reality manages funny serious gun feels different want conserve ammo accordingly dual wielding assault rifles funniest sex scene video games great story secrets collect cool enemy level design kill nazi scum cons needs high res texture pack hounds get annoying latch onto instantly,Pros: - A great game for the whole family. - A great game for the whole family. - A great game for the whole family. - A great game for the whole family. - A great game for the whole family. - A great game for the whole family.
great gameplay and story! some problems with performance   worth your time! 8/10,1,great gameplay story problems performance worth time,i like it
  DiRT Showdown - MINI REVIEW,1,dirt showdown mini review,DiRT Showdown - MINI REVIEW
"Very fuun if you play online multiplayer with friends, Modded singleplayer can also be fun.",1,fuun play online multiplayer friends modded singleplayer also fun,"Very fuun if you play online multiplayer with friends, Modded singleplayer can also be fun."
This Game is simply perfection.,1,game simply perfection,This Game is simply perfection.
"One of the best COD games ever made, but multiplayer is kinda hard to get into since it's full with MW2 veterans, but besides that 10/10",1,one best cod games ever made multiplayer kinda hard get since full mw veterans besides,I'm a big fan of the series and this game is one of the best. I've played it for years and it's still one of my favorite games.
"Very fun game to play, especially with friends. Love the customizablity of everything thang.",1,fun game play especially friends love customizablity everything thang,I'm a big fan of the game.
"A well placed touch up on weapons and general gameplay with an asetic bolester that fit will and didnt go to far or to little. The game albiet being a bit shorter than FEAR (mind you i only did about 75% of all the collectible scavenger buttcrap we all love to do in playthrough 2 whenever we get to it) It packs alot of content into the short time, it moves by slowly and holds your grip well. I enjoyed how very human the characters and enviornments were, from silly refrences to real life facts to movie poster to family photos to equating the Development Team to First Graders. All weapons were greatly viable to pick up and play with and could support you through your endeavor, SMG left on full auto for quick mow downs, ARs set to single fire for cover sniping, auto shotty for your favorite psychotic leapers. The classic Nail Gun is back and is just as adorable and lovable and totes its shiny newself well to the general asetics. Newest addition in the game was the Sniper Rifle and was simply wonderful, though the sway could go unoticed and make aiming tough cause you could randomly miss on occasion. As a comparision to FEAR / Extraction, it was much more horror elemented and set a harsh slow gonna ♥♥♥♥ you up ambience that persisted from area to area and kept the real scares fairly scary, some of the scares got repeatitive and lose thier effect as you start to expect them but thats kinda human nature so /shrug. so overall Its a Reccomendable game with a fun setting, refreshing weapons, and nicely rebalanced health/armor system.  Oh different refrence but still applicible  http://sharkrobot.com/products/god-these-lips ",1,well placed touch weapons general gameplay asetic bolester fit didnt go far little game albiet bit shorter fear mind collectible scavenger buttcrap love playthrough whenever get packs alot content short time moves slowly holds grip well enjoyed human characters enviornments silly refrences real life facts movie poster family photos equating development team first graders weapons greatly viable pick play could support endeavor smg left full auto quick mow downs ars set single fire cover sniping auto shotty favorite psychotic leapers classic nail gun back adorable lovable totes shiny newself well general asetics newest addition game sniper rifle simply wonderful though sway could go unoticed make aiming tough cause could randomly miss occasion comparision fear extraction much horror elemented set harsh slow gonna ambience persisted area area kept real scares fairly scary scares got repeatitive lose thier effect start expect thats kinda human nature shrug overall reccomendable game fun setting refreshing weapons nicely rebalanced healtharmor system oh different refrence still applicible httpsharkrobotcomproductsgodtheselips,"I expected, but still a good one."
"Although this game is old and has been 'replaced' with a second in its series, it still holds a place in my heart of one of my favorite passing times. Killing Floor is a game that was known for wounderful gore and beautiful violence where guns and ninja swords come together to fight waves of zomb- err zeds until the final round comes and everyone gets seperated and slowly picked off one by one. This game is legendary and is of its own, standing seperatly from the second in the franchise, it is a special game to me and hopefully to everyone else that had the chance to experience this piece of red art where british people with the same voice could enjoy a nice day in london against not-so-british zeds that wanted to eat british people. This game is awsome, and i hope people will look back at it when they play Killing Floor 2.",1,although game old replaced second series still holds place heart one favorite passing times killing floor game known wounderful gore beautiful violence guns ninja swords come together fight waves zomb err zeds final round comes everyone gets seperated slowly picked one one game legendary standing seperatly second franchise special game hopefully everyone else chance experience piece red art british people voice could enjoy nice day london notsobritish zeds wanted eat british people game awsome hope people look back play killing floor,"is a great game, but it is not the best game ever."
"If you own left for dead or left for dead 2, this is kind of a must have. A very well thought and technically good game that puts you against hundreds of simple and special zombies in very suggestive maps, with a good community and many servers to play on.",1,left dead left dead kind must well thought technically good game puts hundreds simple special zombies suggestive maps good community many servers play,apocalyptic settings. The game is very well designed and the graphics are very good. The game is very well made and the graphics are very good. The game is very well designed and the graphics are very good. The game is very well made and the graphics are very good.
I love terraria and Minecraft. But I favor Terraria over Minecraft because Terraria has way more imaginitive and histerical items. This ranges from killing a giant eye with nothing but a rainbow gun to getting achievments for completely slaughtering zombies with a minecart. This amazing 2D styled plateformer game has made so much progress in only a few updates. I find this game beautifuly made. I suggest anyone who is thinking of buying this game to have no doubt. Just get it.,1,love terraria minecraft favor terraria minecraft terraria way imaginitive histerical items ranges killing giant eye nothing rainbow gun getting achievments completely slaughtering zombies minecart amazing styled plateformer game made much progress updates find game beautifuly made suggest anyone thinking buying game doubt get,sandworm to a giant sandworm that eats a giant sandworm.
"Zombies too close for grenade launcher, switching to full-auto shotguns!",1,zombies close grenade launcher switching fullauto shotguns,"Keeps only sentimental words: Zombies too close for grenade launcher, switching to full-auto shotguns!"
Welcome to The Right side of life.,1,welcome right side life,The Right side of life.
you can shoot tears of a broken child while dressed as the antichrist 10/10,1,shoot tears broken child dressed antichrist,i can shoot tears of a broken child while dressed as the antichrist
"This game was on a 93% off discount recently, going at 0.99 USD a piece. It's possible for me to fork out a single buck from my steam wallet after liquidating some of my items, so, why not?  The first thing you should know about this game is that, there is a reason why it's score is 36/100. Yes, this game is crudely made and, in most manner, buggy, but that does not mean that this gmae isn't fun. You will get to witness some seriously ridiculous conditions, such as rains or blizzards that which can pretty much blind you. There are also times where you can get your hands on some vehicles. Cherish them, as me and my friend managed to ram more than 100 enemies while driving an average looking hummer jeep (and it 'capsized' after my friend tried to ram a boss and failed).   I didn't play much to give a full account on how to stretch this game to its full potential, though I am certain this will be a great party game and its worth a laugh or two. Just one thing, don't get this game at full price.",1,game discount recently going usd piece possible fork single buck steam wallet liquidating items first thing know game reason score yes game crudely made manner buggy mean gmae isnt fun get witness seriously ridiculous conditions rains blizzards pretty much blind also times get hands vehicles cherish friend managed ram enemies driving average looking hummer jeep capsized friend tried ram boss failed didnt play much give full account stretch game full potential though certain great party game worth laugh two one thing dont get game full price,I'm a fan of the game.
"Addictive, frustrating and rewardingly fun. I can put it aside for months then come back to my game and still be able to know exactly where I left off when I load my save, or I can start all over and have every last captain I worked hard to promote get two-shotted by a damned Floater or turned into a zombie yet again. A+, will probably kill entire squads again several bajillion times.",1,addictive frustrating rewardingly fun put aside months come back game still able know exactly left load save start every last captain worked hard promote get twoshotted damned floater turned zombie yet probably kill entire squads several bajillion times,if I'm playing on a different computer.
"Great game, with an unique tale, and great visuals, the art style is just fenomenal.",1,great game unique tale great visuals art style fenomenal,"I'm a big fan of the series, and I'm glad that they've finally released it on the PC."
Recommended for people who love killing things PEW PEW. 9/10,1,recommended people love killing things pew pew,- i like it
"Follow my curation :  http://store.steampowered.com/curator/9273374-exorio   Superb, satisfying gore, great gameplay, awesome weapons",1,follow curation httpstoresteampoweredcomcuratorexorio superb satisfying gore great gameplay awesome weapons,I'm a big fan of the series and I'm glad to see that it's finally getting a sequel.
this is a GREAT game dont let the graphics fool you for a game from 2006 its a great simulator many planes and missions plus there are infinite mods for this game plus they still even update this here and there and multiplayer isnt dead! your need to install hyper lobby which is a free to download and sign up to join servers but besides that get this game and have fun!,1,great game dont let graphics fool game great simulator many planes missions plus infinite mods game plus still even update multiplayer isnt dead need install hyper lobby free download sign join servers besides get game fun,this game
"Great game, I have put many hours into it and had a lot of fun playing it. In my opinion it is definitely worth the €10,- steam sells it for.  Things I found good about this game: -The game has a lot of items, biomes, NPC's and bosses, which means a lot for the player to explore. -The game doesn't get updated often, but when it gets updated, lots of new things are added. -It is a lot of fun to play alone, but even more fun to play with friends. Downsides to this game: -Because there are so many different items and NPC's it can be hard for beginners to start off, this can be countered with the terraria wiki and the help of friends.",1,great game put many hours lot fun playing opinion definitely worth steam sells things found good game game lot items biomes npcs bosses means lot player explore game doesnt get updated often gets updated lots new things added lot fun play alone even fun play friends downsides game many different items npcs hard beginners start countered terraria wiki help friends,"- The game is very well made, the graphics are very good, the sound is good, the controls are good, the story is good, the music is good, the story is good, the game is fun, the game is fun, the game is fun, the game is fun, the game is"
very fun just a little laggy somtimes though ,1,fun little laggy somtimes though,very fun just a little laggy somtimes though
my game is always crashing help pls,1,game always crashing help pls,i cant play it
"Funny jump and run, with all the little twists one would expect. :)",1,funny jump run little twists one would expect,:)
"pretty cool game, until it started crashing and couldn't launch it anymore... so beware of compatibility problems with windows 8 or 10. when it was working: 8/10 as it's not working and crashing 6/10 ",1,pretty cool game started crashing couldnt launch anymore beware compatibility problems windows working working crashing,0/10
"Inspired by the immensely successful action rpg dungeon crawler Diablo, Torchlight and it's sequel has it's roots deeply planted in the legacy of a little known game called Fate, also a Diablo clone but kid friendly. All of the ingredients that Torchlight is known for were sown, fishing, pets, weapon enchantment and socketing.  But whereas Fate and Torchlight 1 were nearly identical in many respects, Torchlight II feels more fleshed out and certainly has a lot more in common with it's muse Diablo II in this one.   Overall, it's a joy to play and the multiplayer aspect brings a lot to the table",1,inspired immensely successful action rpg dungeon crawler diablo torchlight sequel roots deeply planted legacy little known game called fate also diablo clone kid friendly ingredients torchlight known sown fishing pets weapon enchantment socketing whereas fate torchlight nearly identical many respects torchlight ii feels fleshed certainly lot common muse diablo ii one overall joy play multiplayer aspect brings lot table,dungeon crawler called 'Darkfall'.
"good game but you need a beefy cpu and gpu to run this game. Even a single AMD R9 290 cant even get decent framerate. Need to have SLI/XFire to get good fps. Game is poorly optimised for the PC as well. Other then that, game is fun and filled with content.",1,good game need beefy cpu gpu run game even single amd r cant even get decent framerate need slixfire get good fps game poorly optimised pc well game fun filled content,i7 920 or i7 920x2 or i7 920x2 or i7 920x2 or i7 920x2 or i7 920x2 or i7 920x2 or i7 920x2 or
im from germany !!! but i like it this game :D,1,im germany like game,Keeps only sentimental words: im from germany!!! but i like it this game :D
"If you liked classic Cave Story, or never played Cave Story, and wanted a fresh spin on it, this game is for you.",1,liked classic cave story never played cave story wanted fresh spin game,"Cave Story 2 is a great game, and it's a great game for the whole family."
"Terraria is like a platformer version of minecraft, but personally, for me, its not all that and doesn't really live up to it's hype. However, i must play more to fully get an in-depth review of the game and see if it really is as good as everyone said.  I am gonna recommend it due to it's mysterious popularity :)",1,terraria like platformer version minecraft personally doesnt really live hype however must play fully get indepth review game see really good everyone said gonna recommend due mysterious popularity,adore the game and i think it's a great game for kids.
The BEST part of the Trilogy !!!,1,best part trilogy,The best part of the trilogy!!!
